title;author;publisher;isbn;barcode;category;year;language;pages;shelf;copies;status;keywords;description
Kubbe- Harda;A. Nihat Asya;;;EBS-KTP-0176;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kubbeler;A. Nihat Asya;;;EBS-KTP-0177;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kökler Ve Dallar;A. Nihat Asya;;;EBS-KTP-0178;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kıbrıs Rüyaları;A. Nihat Asya;;;EBS-KTP-0179;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Nisan;A. Nihat Asya;;;EBS-KTP-0180;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Rubaiyat-ı Arif;A. Nihat Asya;;;EBS-KTP-0181;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ses Ve Toprak;A. Nihat Asya;;;EBS-KTP-0182;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Top Sesleri;A. Nihat Asya;;;EBS-KTP-0183;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yastığımın Rüyası;A. Nihat Asya;;;EBS-KTP-0184;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ali Nizami Bey’in Alafrangalığı Ve Şeyhliği;A. Şinasi Hisar;;;EBS-KTP-0185;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Aşk İmiş Her Ne Var Alemde;A. Şinasi Hisar;;;EBS-KTP-0186;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Boğaziçi Mehtapları;A. Şinasi Hisar;;;EBS-KTP-0187;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Boğaziçi Yalıları;A. Şinasi Hisar;;;EBS-KTP-0188;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Fehim Bey Ve Biz;A. Şinasi Hisar;;;EBS-KTP-0189;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Geçmiş Zaman Fıkraları;A. Şinasi Hisar;;;EBS-KTP-0190;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Geçmiş Zaman Köşkleri;A. Şinasi Hisar;;;EBS-KTP-0191;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
İstanbul Ve Pieere Loti;A. Şinasi Hisar;;;EBS-KTP-0192;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çamlıca’daki Eniştemiz;A. Şinasi Hisar;;;EBS-KTP-0193;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Anılarda Yumak Yumak;Abbas Sayar;;;EBS-KTP-0194;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Boşluğa Takılan Ses;Abbas Sayar;;;EBS-KTP-0195;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Can Şenliği;Abbas Sayar;;;EBS-KTP-0196;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Dik Bayır;Abbas Sayar;;;EBS-KTP-0197;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tarlabaşı Salkım Saçak;Abbas Sayar;;;EBS-KTP-0198;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yorganımı Sıkı Sar;Abbas Sayar;;;EBS-KTP-0199;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yılkı Atı;Abbas Sayar;;;EBS-KTP-0200;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çelo;Abbas Sayar;;;EBS-KTP-0201;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bir Düğün Gecesi;Adalet Ağaoğlu;;;EBS-KTP-0202;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bir Kahramanın Ölümü;Adalet Ağaoğlu;;;EBS-KTP-0203;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Duvar Öyküsü;Adalet Ağaoğlu;;;EBS-KTP-0204;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Evcilik Oyunu;Adalet Ağaoğlu;;;EBS-KTP-0205;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Fikrimin İnce Gülü;Adalet Ağaoğlu;;;EBS-KTP-0206;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Gece Hayatım;Adalet Ağaoğlu;;;EBS-KTP-0207;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Göç Temizliği;Adalet Ağaoğlu;;;EBS-KTP-0208;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hadi Gidelim;Adalet Ağaoğlu;;;EBS-KTP-0209;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hayatı Savunma Biçimleri;Adalet Ağaoğlu;;;EBS-KTP-0210;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hayır;Adalet Ağaoğlu;;;EBS-KTP-0211;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kendini Yazan Şarkı;Adalet Ağaoğlu;;;EBS-KTP-0212;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kozalar;Adalet Ağaoğlu;;;EBS-KTP-0213;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Romantik Bir Viyana Yazı;Adalet Ağaoğlu;;;EBS-KTP-0214;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ruh Üşümesi;Adalet Ağaoğlu;;;EBS-KTP-0215;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sessizliğin İlk Sesi;Adalet Ağaoğlu;;;EBS-KTP-0216;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sınırlarda;Adalet Ağaoğlu;;;EBS-KTP-0217;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tombala;Adalet Ağaoğlu;;;EBS-KTP-0218;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yazsonu;Adalet Ağaoğlu;;;EBS-KTP-0219;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yüksek Gerilim;Adalet Ağaoğlu;;;EBS-KTP-0220;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çatıdaki Çatlak;Adalet Ağaoğlu;;;EBS-KTP-0221;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çok Uzak-Fazla Yakın;Adalet Ağaoğlu;;;EBS-KTP-0222;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çıkış;Adalet Ağaoğlu;;;EBS-KTP-0223;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ölmeye Yatmak;Adalet Ağaoğlu;;;EBS-KTP-0224;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Üç Beş Kişi;Adalet Ağaoğlu;;;EBS-KTP-0225;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Üç Oyun;Adalet Ağaoğlu;;;EBS-KTP-0226;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bir Şoförün Gizli Defteri;Aka Gündüz;;;EBS-KTP-0227;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Dikmen Yıldızı;Aka Gündüz;;;EBS-KTP-0228;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
İki Süngü Arasında;Aka Gündüz;;;EBS-KTP-0229;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Zekeriya Sofrası;Aka Gündüz;;;EBS-KTP-0230;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bir Gemi Yelken Açtı;Ali Mümtaz Arolat;;;EBS-KTP-0231;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hayal İkliminden Dönen Anlatıyor Ki;Ali Mümtaz Arolat;;;EBS-KTP-0232;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Abbas Yolcu;Attila İlhan;;;EBS-KTP-0233;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ayrılık Sevdaya Dahil;Attila İlhan;;;EBS-KTP-0234;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Batı’nın Deli Gömleği;Attila İlhan;;;EBS-KTP-0235;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ben Sana Mecburum;Attila İlhan;;;EBS-KTP-0236;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bıçağın Ucu;Attila İlhan;;;EBS-KTP-0237;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Dersaadet’te Sabah Ezanlar;Attila İlhan;;;EBS-KTP-0238;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Duvar;Attila İlhan;;;EBS-KTP-0239;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Elde Var Hüzün;Attila İlhan;;;EBS-KTP-0240;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Fena Halde Leman;Attila İlhan;;;EBS-KTP-0241;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Gerçekçilik Savaşı;Attila İlhan;;;EBS-KTP-0242;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hace Hanım Vay;Attila İlhan;;;EBS-KTP-0243;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hangi Atatürk;Attila İlhan;;;EBS-KTP-0244;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hangi Sol;Attila İlhan;;;EBS-KTP-0245;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
İkinci Yeni Savaşı;Attila İlhan;;;EBS-KTP-0246;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kurtlar Sofrası;Attila İlhan;;;EBS-KTP-0247;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
O. Karanlıkta Biz;Attila İlhan;;;EBS-KTP-0248;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sağım Solum Sobe;Attila İlhan;;;EBS-KTP-0249;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sisler Bulvarı;Attila İlhan;;;EBS-KTP-0250;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sokaktaki Adam;Attila İlhan;;;EBS-KTP-0251;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sırtlan Payı;Attila İlhan;;;EBS-KTP-0252;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ulusal Kültür Savaşı;Attila İlhan;;;EBS-KTP-0253;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yanlış Kadınlar Yanlış Erkekler;Attila İlhan;;;EBS-KTP-0254;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yaraya Tuz Basmak;Attila İlhan;;;EBS-KTP-0255;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yağmur Kaçağı;Attila İlhan;;;EBS-KTP-0256;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Zenciler Birbirine Benzemez;Attila İlhan;;;EBS-KTP-0257;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Aferin;Aziz Nesin;;;EBS-KTP-0258;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ah Biz Eşekler;Aziz Nesin;;;EBS-KTP-0259;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ah Biz Ödlek Aydınlar;Aziz Nesin;;;EBS-KTP-0260;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Aziz Dededen Masallar;Aziz Nesin;;;EBS-KTP-0261;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Azizname;Aziz Nesin;;;EBS-KTP-0262;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bay Düdük;Aziz Nesin;;;EBS-KTP-0263;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Beş Kısa Oyun;Aziz Nesin;;;EBS-KTP-0264;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bir Koltuk Nasıl Devrilir;Aziz Nesin;;;EBS-KTP-0265;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bir Sürgünün Hatıraları;Aziz Nesin;;;EBS-KTP-0266;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bir Şey Yap Met;Aziz Nesin;;;EBS-KTP-0267;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Biraz Gelir Misin;Aziz Nesin;;;EBS-KTP-0268;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Biz Adam Olmayız;Aziz Nesin;;;EBS-KTP-0269;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Böyle Gelmiş Böyle Gitmez;Aziz Nesin;;;EBS-KTP-0270;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Bülbül Yuvası Evler;Aziz Nesin;;;EBS-KTP-0271;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Büyük Grev;Aziz Nesin;;;EBS-KTP-0272;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Canikom;Aziz Nesin;;;EBS-KTP-0273;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Damda Deli Var;Aziz Nesin;;;EBS-KTP-0274;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Deliler Boşandı;Aziz Nesin;;;EBS-KTP-0275;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Duyduk Duymadık Demeyin;Aziz Nesin;;;EBS-KTP-0276;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Düdükçülerle Fırçacıların Savaşı;Aziz Nesin;;;EBS-KTP-0277;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Dünya Kazan Ben Kepçe;Aziz Nesin;;;EBS-KTP-0278;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Erkek Sabahat;Aziz Nesin;;;EBS-KTP-0279;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Fil Hamdi;Aziz Nesin;;;EBS-KTP-0280;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Geriye Kalan;Aziz Nesin;;;EBS-KTP-0281;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Gol Kralı Sait;Aziz Nesin;;;EBS-KTP-0282;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Gözüne Gözlük;Aziz Nesin;;;EBS-KTP-0283;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Gıdıgıdı;Aziz Nesin;;;EBS-KTP-0284;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hadi Öldürsene;Aziz Nesin;;;EBS-KTP-0285;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hangi Parti Kazanacak;Aziz Nesin;;;EBS-KTP-0286;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Havadan Sudan;Aziz Nesin;;;EBS-KTP-0287;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hayvan Deyip Geçme;Aziz Nesin;;;EBS-KTP-0288;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hoptirnam;Aziz Nesin;;;EBS-KTP-0289;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Hoşçakalın;Aziz Nesin;;;EBS-KTP-0290;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
İnsanlar Konuşa Konuşa;Aziz Nesin;;;EBS-KTP-0291;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
İt Kuyruğu;Aziz Nesin;;;EBS-KTP-0292;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kadın Olan Erkekler;Aziz Nesin;;;EBS-KTP-0293;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kalpazanlık Bile Yapılamıyor;Aziz Nesin;;;EBS-KTP-0294;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kazan Töreni;Aziz Nesin;;;EBS-KTP-0295;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kendini Yakalamak;Aziz Nesin;;;EBS-KTP-0296;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Koltuk;Aziz Nesin;;;EBS-KTP-0297;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Korkudan Korkmak;Aziz Nesin;;;EBS-KTP-0298;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Kördöğüşü;Aziz Nesin;;;EBS-KTP-0299;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Mahallenin Kısmeti;Aziz Nesin;;;EBS-KTP-0300;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Mahmut İle Nigar;Aziz Nesin;;;EBS-KTP-0301;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Maçinli Kız İçin Ev;Aziz Nesin;;;EBS-KTP-0302;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Memleketin Birinde;Aziz Nesin;;;EBS-KTP-0303;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Merhaba;Aziz Nesin;;;EBS-KTP-0304;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Nah Kalkınırsın;Aziz Nesin;;;EBS-KTP-0305;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Nazik Alet;Aziz Nesin;;;EBS-KTP-0306;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Nutuk Makinası;Aziz Nesin;;;EBS-KTP-0307;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Poliste;Aziz Nesin;;;EBS-KTP-0308;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Rüyalarım Ziyan Olmasın;Aziz Nesin;;;EBS-KTP-0309;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Rıfat Bey Neden Kaşınıyor;Aziz Nesin;;;EBS-KTP-0310;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Salkım Salkım Asılacak Adamlar;Aziz Nesin;;;EBS-KTP-0311;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sivas Acısı;Aziz Nesin;;;EBS-KTP-0312;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Sondan Başa;Aziz Nesin;;;EBS-KTP-0313;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Suçlanana Ve Aklanan Yazılar;Aziz Nesin;;;EBS-KTP-0314;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tatlı Betüş;Aziz Nesin;;;EBS-KTP-0315;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tek Yol;Aziz Nesin;;;EBS-KTP-0316;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Toros Canavarı;Aziz Nesin;;;EBS-KTP-0317;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tut Elimden Rovni;Aziz Nesin;;;EBS-KTP-0318;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Uyusana Tosunum;Aziz Nesin;;;EBS-KTP-0319;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Vatan Sağolsun;Aziz Nesin;;;EBS-KTP-0320;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yaşar Ne Yaşar Ne Yaşamaz;Aziz Nesin;;;EBS-KTP-0321;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yaşasın Memleket;Aziz Nesin;;;EBS-KTP-0322;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yedek Parça;Aziz Nesin;;;EBS-KTP-0323;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yeşil Renkli Namus Gazı;Aziz Nesin;;;EBS-KTP-0324;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yokuşun Başı;Aziz Nesin;;;EBS-KTP-0325;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yüz Liraya Bir Deli;Aziz Nesin;;;EBS-KTP-0326;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Zübük;Aziz Nesin;;;EBS-KTP-0327;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çiçu;Aziz Nesin;;;EBS-KTP-0328;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çuvala Doldurulmuş Kediler;Aziz Nesin;;;EBS-KTP-0329;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Ölmüş Eşek;Aziz Nesin;;;EBS-KTP-0330;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Şimdiki Çocuklar Harika;Aziz Nesin;;;EBS-KTP-0331;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Benden İçeri;B. Kemal Çağlar;;;EBS-KTP-0332;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Burada Bir Kalp Çarpıyor;B. Kemal Çağlar;;;EBS-KTP-0333;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Deniz Abdal;B. Kemal Çağlar;;;EBS-KTP-0334;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Erciyes’ten Kopan Çığ;B. Kemal Çağlar;;;EBS-KTP-0335;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Son Şiirleri;B. Kemal Çağlar;;;EBS-KTP-0336;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Çoban;B. Kemal Çağlar;;;EBS-KTP-0337;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Canım Anadolu;B. Rahmi Eyüpoğlu;;;EBS-KTP-0338;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Delifişek;B. Rahmi Eyüpoğlu;;;EBS-KTP-0339;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Dol Karabakır Dol;B. Rahmi Eyüpoğlu;;;EBS-KTP-0340;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Dördü Birden;B. Rahmi Eyüpoğlu;;;EBS-KTP-0341;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Karadut 69;B. Rahmi Eyüpoğlu;;;EBS-KTP-0342;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Karadut;B. Rahmi Eyüpoğlu;;;EBS-KTP-0343;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Nazmı Ziya;B. Rahmi Eyüpoğlu;;;EBS-KTP-0344;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Resme Bakarken;B. Rahmi Eyüpoğlu;;;EBS-KTP-0345;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tezek;B. Rahmi Eyüpoğlu;;;EBS-KTP-0346;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Tuz;B. Rahmi Eyüpoğlu;;;EBS-KTP-0347;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yaradana Mektuplar;B. Rahmi Eyüpoğlu;;;EBS-KTP-0348;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
Yaşadım;B. Rahmi Eyüpoğlu;;;EBS-KTP-0349;Türk Edebiyatı / Cumhuriyet Dönemi;0;Türkçe;0;;1;Aktif;;
